=== YFFS2 Test Operations ===

=== YAFFS2 Media Information ===
Mount point          : /
Filesystem type      : YAFFS2
Total space          : 32768 KB (32 MB)
Free space           : 18300 KB (17 MB)
Used space           : 14467 KB (14 MB)
Usage                : 44% used, 56% free
GC Recommendation    : Low usage - passive garbage collection sufficient

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled

Test operations:
<1> - Write files test
<2> - Read files test
<3> - Delete files test
<4> - Format filesystem test
<5> - Run full test (write+read+delete)

Configuration:
<6> - Change files count (1-10000)
<7> - Change file size (1KB-1MB)
<8> - Change block size (1KB-128KB)
<A> - Change data pattern
<B> - Toggle data verification
<C> - Change constant pattern value
<9> - Reset to defaults
<ESC> - Return to previous menu

Enter choice: 
=== YAFFS2 Read Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Reading 1000 files of 10240 bytes each...
File /test_053.bin: opened:   437 us, closed:     3 us, I/O:   2133 us, total:   7840 us, speed:  4688 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_054.bin: opened:   440 us, closed:     3 us, I/O:   2137 us, total:   7883 us, speed:  4679 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_055.bin: opened:   447 us, closed:     3 us, I/O:   2135 us, total:   7911 us, speed:  4683 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_056.bin: opened:   450 us, closed:     3 us, I/O:   2138 us, total:   7924 us, speed:  4677 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_057.bin: opened:   449 us, closed:     3 us, I/O:   2137 us, total:   7865 us, speed:  4679 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_058.bin: opened:   448 us, closed:     3 us, I/O:   2143 us, total:   7929 us, speed:  4666 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_059.bin: opened:   445 us, closed:     3 us, I/O:   2140 us, total:  13815 us, speed:  4672 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_060.bin: opened:   428 us, closed:     3 us, I/O:   2134 us, total:   7851 us, speed:  4686 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_061.bin: opened:   435 us, closed:     3 us, I/O:   2142 us, total:   7887 us, speed:  4668 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_062.bin: opened:   437 us, closed:     3 us, I/O:   2137 us, total:   7874 us, speed:  4679 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_063.bin: opened:   445 us, closed:     3 us, I/O:   2135 us, total:   7868 us, speed:  4683 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_064.bin: opened:   444 us, closed:     3 us, I/O:   2136 us, total:   7902 us, speed:  4681 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_065.bin: opened:   460 us, closed:     3 us, I/O:   2141 us, total:   7898 us, speed:  4670 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
