=== Read Test ===
Filesystem integrity check: OK
Reading 1000 files, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Reading /test_052.bin... opened:  3147 us, closed:     3 us, I/O:   1892 us, total:  10237 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_053.bin... opened:  3110 us, closed:     3 us, I/O:   1891 us, total:  10199 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_054.bin... opened:  3095 us, closed:     3 us, I/O:   1888 us, total:  10131 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_055.bin... opened:  3077 us, closed:     3 us, I/O:   1889 us, total:  16090 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_056.bin... opened:  3068 us, closed:     3 us, I/O:   1892 us, total:  10115 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_057.bin... opened:  3072 us, closed:     3 us, I/O:   1906 us, total:  10149 us, speed:  5246 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_058.bin... opened:  3024 us, closed:     3 us, I/O:   1888 us, total:  10056 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_059.bin... opened:  3035 us, closed:     3 us, I/O:   1892 us, total:  10161 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_060.bin... opened:  3002 us, closed:     3 us, I/O:   1893 us, total:  10060 us, speed:  5282 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_061.bin... opened:  2984 us, closed:     3 us, I/O:   1888 us, total:  10076 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_062.bin... opened:  2975 us, closed:     3 us, I/O:   1887 us, total:  10034 us, speed:  5299 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_063.bin... opened:  2959 us, closed:     3 us, I/O:   1889 us, total:  15976 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_064.bin... opened:  3006 us, closed:     6 us, I/O:   1888 us, total:  10077 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_065.bin... opened:  2948 us, closed:     3 us, I/O:   1890 us, total:  10014 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
