=== Write Test ===
Filesystem integrity check: OK
Writing 1000 files, 10240 bytes each, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Writing /test_068.bin... opened:  2957 us, closed:   438 us, I/O:  96620 us, total: 104926 us, speed:   103 KB/s, CRC32: 0xC61C2AA0
Writing /test_069.bin... opened:  3016 us, closed:   441 us, I/O:  83520 us, total:  91945 us, speed:   119 KB/s, CRC32: 0xC61C2AA0
Writing /test_070.bin... opened:  3115 us, closed:   423 us, I/O: 100178 us, total: 108605 us, speed:    99 KB/s, CRC32: 0xC61C2AA0
Writing /test_071.bin... opened:  3267 us, closed:   393 us, I/O:  85990 us, total:  94593 us, speed:   116 KB/s, CRC32: 0xC61C2AA0
Writing /test_072.bin... opened:  3301 us, closed:   378 us, I/O:  85088 us, total:  93720 us, speed:   117 KB/s, CRC32: 0xC61C2AA0
Writing /test_073.bin... opened:  3344 us, closed:   375 us, I/O:  96470 us, total: 105123 us, speed:   103 KB/s, CRC32: 0xC61C2AA0
Writing /test_074.bin... opened:  3389 us, closed:   346 us, I/O:  93087 us, total: 101758 us, speed:   107 KB/s, CRC32: 0xC61C2AA0
Writing /test_075.bin... opened:  3410 us, closed:   329 us, I/O:  88852 us, total:  97517 us, speed:   112 KB/s, CRC32: 0xC61C2AA0
Writing /test_076.bin... opened:  3476 us, closed:   304 us, I/O:  84257 us, total:  92959 us, speed:   118 KB/s, CRC32: 0xC61C2AA0
Writing /test_077.bin... opened:  3453 us, closed: 1446575 us, I/O: 104449 us, total: 1559425 us, speed:    95 KB/s, CRC32: 0xC61C2AA0
Writing /test_078.bin... opened:  3101 us, closed:   442 us, I/O:  87698 us, total:  96181 us, speed:   114 KB/s, CRC32: 0xC61C2AA0
Writing /test_079.bin... opened:  3175 us, closed:   439 us, I/O:  91292 us, total:  99827 us, speed:   109 KB/s, CRC32: 0xC61C2AA0
Writing /test_080.bin... opened:  3235 us, closed:   442 us, I/O: 107702 us, total: 116306 us, speed:    92 KB/s, CRC32: 0xC61C2AA0
Writing /test_081.bin... opened:  3275 us, closed:   444 us, I/O:  85307 us, total:  93996 us, speed:   117 KB/s, CRC32: 0xC61C2AA0
Writing /test_082.bin... opened:  3376 us, closed:   442 us, I/O:  93120 us, total: 101865 us, speed:   107 KB/s, CRC32: 0xC61C2AA0
Writing /test_083.bin... opened:  3393 us, closed:   442 us, I/O:  98478 us, total: 107225 us, speed:   101 KB/s, CRC32: 0xC61C2AA0
Writing /test_084.bin... opened:  3475 us, closed:   440 us, I/O:  99310 us, total: 108153 us, speed:   100 KB/s, CRC32: 0xC61C2AA0
Writing /test_085.bin... opened:  3579 us, closed:   455 us, I/O:  86410 us, total:  95387 us, speed:   115 KB/s, CRC32: 0xC61C2AA0
Writing /test_086.bin... opened:  3743 us, closed:   441 us, I/O:  83881 us, total:  93004 us, speed:   119 KB/s, CRC32: 0xC61C2AA0
Writing /test_087.bin... opened:  3805 us, closed:   443 us, I/O: 107902 us, total: 117098 us, speed:    92 KB/s, CRC32: 0xC61C2AA0
Writing /test_088.bin... opened:  3885 us, closed:   446 us, I/O:  94720 us, total: 103988 us, speed:   105 KB/s, CRC32: 0xC61C2AA0
Writing /test_089.bin... opened:  3943 us, closed:   443 us, I/O:  98316 us, total: 107621 us, speed:   101 KB/s, CRC32: 0xC61C2AA0
Writing /test_090.bin... opened:  3975 us, closed:   450 us, I/O:  84509 us, total:  93876 us, speed:   118 KB/s, CRC32: 0xC61C2AA0
Writing /test_091.bin... opened:  4053 us, closed:   441 us, I/O:  99676 us, total: 109079 us, speed:   100 KB/s, CRC32: 0xC61C2AA0
Writing /test_092.bin... opened:  4122 us, closed:   442 us, I/O:  89413 us, total:  98908 us, speed:   111 KB/s, CRC32: 0xC61C2AA0
Writing /test_093.bin... opened:  4207 us, closed:   432 us, I/O:  87821 us, total:  97375 us, speed:   113 KB/s, CRC32: 0xC61C2AA0
Writing /test_094.bin... opened:  4369 us, closed:   405 us, I/O:  99741 us, total: 109412 us, speed:   100 KB/s, CRC32: 0xC61C2AA0
Writing /test_095.bin... opened:  4417 us, closed:   393 us, I/O: 109401 us, total: 119110 us, speed:    91 KB/s, CRC32: 0xC61C2AA0
Writing /test_096.bin... opened:  4466 us, closed:   376 us, I/O:  89675 us, total:  99442 us, speed:   111 KB/s, CRC32: 0xC61C2AA0
Writing /test_097.bin... opened:  4499 us, closed:   371 us, I/O:  91417 us, total: 101217 us, speed:   109 KB/s, CRC32: 0xC61C2AA0
Writing /test_098.bin... opened:  4537 us, closed:   338 us, I/O:  87473 us, total:  97277 us, speed:   114 KB/s, CRC32: 0xC61C2AA0
Writing /test_099.bin... opened:  4579 us, closed:   320 us, I/O:  80214 us, total:  90050 us, speed:   124 KB/s, CRC32: 0xC61C2AA0
Writing /test_100.bin... opened:  4610 us, closed:   251 us, I/O:  80839 us, total:  90641 us, speed:   123 KB/s, CRC32: 0xC61C2AA0
Writing /test_101.bin... opened: 508460 us, closed: 178991 us, I/O:  97441 us, total: 789841 us, speed:   102 KB/s, CRC32: 0xC61C2AA0
Writing /test_102.bin... opened:  3615 us, closed:   441 us, I/O:  82316 us, total:  91283 us, speed:   121 KB/s, CRC32: 0xC61C2AA0
Writing /test_103.bin... opened:  3668 us, closed:   441 us, I/O: 101290 us, total: 110328 us, speed:    98 KB/s, CRC32: 0xC61C2AA0
Writing /test_104.bin... opened:  3739 us, closed:   441 us, I/O:  80081 us, total:  95165 us, speed:   124 KB/s, CRC32: 0xC61C2AA0
Writing /test_105.bin... opened:  3935 us, closed:   438 us, I/O:  87983 us, total:  97302 us, speed:   113 KB/s, CRC32: 0xC61C2AA0
Writing /test_106.bin... opened:  3999 us, closed:   445 us, I/O:  85782 us, total:  95208 us, speed:   116 KB/s, CRC32: 0xC61C2AA0
Writing /test_107.bin... opened:  4081 us, closed:   441 us, I/O:  97951 us, total: 107384 us, speed:   102 KB/s, CRC32: 0xC61C2AA0
Writing /test_108.bin... opened:  4117 us, closed:   445 us, I/O:  79820 us, total:  89320 us, speed:   125 KB/s, CRC32: 0xC61C2AA0
Writing /test_109.bin... opened:  4188 us, closed:   445 us, I/O:  88801 us, total:  98350 us, speed:   112 KB/s, CRC32: 0xC61C2AA0
Writing /test_110.bin... opened:  4265 us, closed:   443 us, I/O:  90919 us, total: 100548 us, speed:   109 KB/s, CRC32: 0xC61C2AA0
