
=== YAFFS2 Write Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Writing 1000 files of 10240 bytes each...
File /test_057.bin: opened:  2048 us, closed:     8 us, I/O:  14986 us, total:  22137 us, speed:   667 KB/s, CRC32: 0xC61C2AA0
File /test_058.bin: opened:  2048 us, closed:     5 us, I/O:  15072 us, total:  22202 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
File /test_059.bin: opened:  2042 us, closed:     5 us, I/O:  15003 us, total:  22140 us, speed:   666 KB/s, CRC32: 0xC61C2AA0
File /test_060.bin: opened:  3668 us, closed:     5 us, I/O:  20993 us, total:  29723 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_061.bin: opened:  2069 us, closed:     5 us, I/O:  15020 us, total:  22107 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_062.bin: opened:  2073 us, closed:     5 us, I/O:  15019 us, total:  22157 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_063.bin: opened:  2078 us, closed:     5 us, I/O:  16223 us, total:  23392 us, speed:   616 KB/s, CRC32: 0xC61C2AA0
File /test_064.bin: opened:  2474 us, closed:     5 us, I/O:  21022 us, total:  28645 us, speed:   475 KB/s, CRC32: 0xC61C2AA0
File /test_065.bin: opened:  2085 us, closed:     5 us, I/O:  15027 us, total:  22146 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_066.bin: opened:  2063 us, closed:     5 us, I/O:  15039 us, total:  22154 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_067.bin: opened:  2090 us, closed:     5 us, I/O:  16651 us, total:  23810 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_068.bin: opened:  2082 us, closed:     5 us, I/O:  20993 us, total:  28160 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_069.bin: opened:  2081 us, closed:     5 us, I/O:  15063 us, total:  22228 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
File /test_070.bin: opened:  2054 us, closed:     5 us, I/O:  14976 us, total:  22121 us, speed:   667 KB/s, CRC32: 0xC61C2AA0
File /test_071.bin: opened:  2084 us, closed:     5 us, I/O:  16656 us, total:  23825 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_072.bin: opened:  2081 us, closed:     5 us, I/O:  21022 us, total:  28174 us, speed:   475 KB/s, CRC32: 0xC61C2AA0
File /test_073.bin: opened:  2078 us, closed:     5 us, I/O:  15052 us, total:  22230 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_074.bin: opened:  2056 us, closed:     5 us, I/O:  14992 us, total:  22115 us, speed:   667 KB/s, CRC32: 0xC61C2AA0
File /test_075.bin: opened:  2087 us, closed:     5 us, I/O:  16583 us, total:  23752 us, speed:   603 KB/s, CRC32: 0xC61C2AA0
File /test_076.bin: opened:  2069 us, closed:     5 us, I/O:  20989 us, total:  28149 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_077.bin: opened:  2078 us, closed:     5 us, I/O:  15015 us, total:  22160 us, speed:   666 KB/s, CRC32: 0xC61C2AA0
File /test_078.bin: opened:  2097 us, closed:     5 us, I/O:  15041 us, total:  22201 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_079.bin: opened:  2077 us, closed:     9 us, I/O:  16618 us, total:  23826 us, speed:   601 KB/s, CRC32: 0xC61C2AA0
File /test_080.bin: opened:  2077 us, closed:     5 us, I/O:  21009 us, total:  28200 us, speed:   475 KB/s, CRC32: 0xC61C2AA0
File /test_081.bin: opened:  2090 us, closed:     5 us, I/O:  15060 us, total:  22244 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_082.bin: opened:  2082 us, closed:     5 us, I/O:  15028 us, total:  22203 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_083.bin: opened:  2075 us, closed:     5 us, I/O:  16584 us, total:  23752 us, speed:   602 KB/s, CRC32: 0xC61C2AA0
File /test_084.bin: opened:  2093 us, closed:     5 us, I/O:  21012 us, total:  28204 us, speed:   475 KB/s, CRC32: 0xC61C2AA0
File /test_085.bin: opened:  2073 us, closed:     5 us, I/O:  15037 us, total:  22192 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_086.bin: opened:  2072 us, closed:     5 us, I/O:  15024 us, total:  22182 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_087.bin: opened:  2083 us, closed:     5 us, I/O:  16628 us, total:  23809 us, speed:   601 KB/s, CRC32: 0xC61C2AA0
File /test_088.bin: opened:  2092 us, closed:     5 us, I/O:  20936 us, total:  28167 us, speed:   477 KB/s, CRC32: 0xC61C2AA0
File /test_089.bin: opened:  2092 us, closed:     5 us, I/O:  15110 us, total:  22297 us, speed:   661 KB/s, CRC32: 0xC61C2AA0
File /test_090.bin: opened:  2111 us, closed:     5 us, I/O:  15023 us, total:  22232 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_091.bin: opened:  2073 us, closed:     5 us, I/O:  16602 us, total:  23737 us, speed:   602 KB/s, CRC32: 0xC61C2AA0
File /test_092.bin: opened:  2074 us, closed:     5 us, I/O:  21018 us, total:  28181 us, speed:   475 KB/s, CRC32: 0xC61C2AA0
File /test_093.bin: opened:  2085 us, closed:     5 us, I/O:  15013 us, total:  22155 us, speed:   666 KB/s, CRC32: 0xC61C2AA0
File /test_094.bin: opened:  2091 us, closed:     5 us, I/O:  15095 us, total:  22286 us, speed:   662 KB/s, CRC32: 0xC61C2AA0
File /test_095.bin: opened:  2085 us, closed:     5 us, I/O:  16641 us, total:  23763 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_096.bin: opened:  2096 us, closed:     5 us, I/O:  20962 us, total:  28131 us, speed:   477 KB/s, CRC32: 0xC61C2AA0
File /test_097.bin: opened:  2152 us, closed:     5 us, I/O:  15047 us, total:  22239 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_098.bin: opened:  2079 us, closed:     5 us, I/O:  15053 us, total:  22246 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_099.bin: opened:  2080 us, closed:     5 us, I/O:  16639 us, total:  23763 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_100.bin: opened:  2091 us, closed:     5 us, I/O:  15055 us, total:  22278 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_101.bin: opened:  2142 us, closed:     5 us, I/O:  15059 us, total:  22218 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_102.bin: opened:  2099 us, closed:     5 us, I/O:  15049 us, total:  22182 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_103.bin: opened:  2120 us, closed:     5 us, I/O:  16665 us, total:  23812 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_104.bin: opened:  2110 us, closed:     5 us, I/O:  15042 us, total:  22293 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_105.bin: opened:  8046 us, closed:     5 us, I/O:  15059 us, total:  28168 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_106.bin: opened:  2099 us, closed:     5 us, I/O:  15022 us, total:  22173 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_107.bin: opened:  2096 us, closed:     5 us, I/O:  16632 us, total:  23820 us, speed:   601 KB/s, CRC32: 0xC61C2AA0
File /test_108.bin: opened:  2095 us, closed:     5 us, I/O:  15024 us, total:  22213 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_109.bin: opened:  8057 us, closed:     5 us, I/O:  15052 us, total:  28180 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_110.bin: opened:  2112 us, closed:     5 us, I/O:  14987 us, total:  22164 us, speed:   667 KB/s, CRC32: 0xC61C2AA0
File /test_111.bin: opened:  2106 us, closed:     5 us, I/O:  16598 us, total:  23752 us, speed:   602 KB/s, CRC32: 0xC61C2AA0
File /test_112.bin: opened:  2113 us, closed:     5 us, I/O:  15035 us, total:  22293 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_113.bin: opened:  2112 us, closed:     5 us, I/O:  15065 us, total:  28225 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
File /test_114.bin: opened:  2121 us, closed:     5 us, I/O:  14984 us, total:  22156 us, speed:   667 KB/s, CRC32: 0xC61C2AA0
File /test_115.bin: opened:  2136 us, closed:     5 us, I/O:  16645 us, total:  23853 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_116.bin: opened:  2096 us, closed:     5 us, I/O:  15049 us, total:  22216 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_117.bin: opened:  2090 us, closed:     8 us, I/O:  15079 us, total:  28238 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
File /test_118.bin: opened:  2117 us, closed:     5 us, I/O:  14958 us, total:  22137 us, speed:   668 KB/s, CRC32: 0xC61C2AA0
File /test_119.bin: opened:  3297 us, closed:     5 us, I/O:  15511 us, total:  23838 us, speed:   644 KB/s, CRC32: 0xC61C2AA0
File /test_120.bin: opened:  2120 us, closed:     9 us, I/O:  15021 us, total:  22227 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_121.bin: opened:  2113 us, closed:     5 us, I/O:  15045 us, total:  28207 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_122.bin: opened:  2123 us, closed:     5 us, I/O:  14970 us, total:  22175 us, speed:   668 KB/s, CRC32: 0xC61C2AA0
File /test_123.bin: opened:  3722 us, closed:     5 us, I/O:  15050 us, total:  23856 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_124.bin: opened:  2136 us, closed:     5 us, I/O:  15028 us, total:  22263 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_125.bin: opened:  2133 us, closed:     8 us, I/O:  15035 us, total:  28279 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_126.bin: opened:  2133 us, closed:     5 us, I/O:  16153 us, total:  23360 us, speed:   619 KB/s, CRC32: 0xC61C2AA0
File /test_127.bin: opened:  2538 us, closed:     6 us, I/O:  15055 us, total:  22652 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_128.bin: opened:  2139 us, closed:     5 us, I/O:  15020 us, total:  22256 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_129.bin: opened:  2119 us, closed:     5 us, I/O:  21004 us, total:  28244 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_130.bin: opened:  2106 us, closed:     5 us, I/O:  16584 us, total:  23758 us, speed:   602 KB/s, CRC32: 0xC61C2AA0
File /test_131.bin: opened:  2135 us, closed:     5 us, I/O:  15086 us, total:  22364 us, speed:   662 KB/s, CRC32: 0xC61C2AA0
File /test_132.bin: opened:  2118 us, closed:     5 us, I/O:  15038 us, total:  22228 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_133.bin: opened:  2156 us, closed:     8 us, I/O:  21062 us, total:  28317 us, speed:   474 KB/s, CRC32: 0xC61C2AA0
File /test_134.bin: opened:  2132 us, closed:     5 us, I/O:  16585 us, total:  23762 us, speed:   602 KB/s, CRC32: 0xC61C2AA0
File /test_135.bin: opened:  2125 us, closed:     5 us, I/O:  15048 us, total:  22225 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_136.bin: opened:  2135 us, closed:     5 us, I/O:  15024 us, total:  22253 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_137.bin: opened:  2119 us, closed:     5 us, I/O:  20968 us, total:  28208 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_138.bin: opened:  2141 us, closed:     5 us, I/O:  16617 us, total:  23807 us, speed:   601 KB/s, CRC32: 0xC61C2AA0
