
=== YAFFS2 Delete Test ===
Deleting 1000 test files...
File /test_229.bin: deleted:   4103 us, speed:  2437 KB/s
File /test_230.bin: deleted:   4112 us, speed:  2431 KB/s
File /test_231.bin: deleted:   4105 us, speed:  2436 KB/s
File /test_232.bin: deleted:  11590 us, speed:   862 KB/s
File /test_233.bin: deleted:   4075 us, speed:  2453 KB/s
File /test_234.bin: deleted:   4117 us, speed:  2428 KB/s
File /test_235.bin: deleted:   4106 us, speed:  2435 KB/s
File /test_236.bin: deleted:   4157 us, speed:  2405 KB/s
File /test_237.bin: deleted:   4132 us, speed:  2420 KB/s
File /test_238.bin: deleted:   4110 us, speed:  2433 KB/s
File /test_239.bin: deleted:   4137 us, speed:  2417 KB/s
File /test_240.bin: deleted:   4121 us, speed:  2426 KB/s
File /test_241.bin: deleted:   4094 us, speed:  2442 KB/s
File /test_242.bin: deleted:   4100 us, speed:  2439 KB/s
File /test_243.bin: deleted:   4125 us, speed:  2424 KB/s
File /test_244.bin: deleted:   4124 us, speed:  2424 KB/s
File /test_245.bin: deleted:   4099 us, speed:  2439 KB/s
File /test_246.bin: deleted:   4130 us, speed:  2421 KB/s
File /test_247.bin: deleted:   4093 us, speed:  2443 KB/s
File /test_248.bin: deleted:   4139 us, speed:  2416 KB/s
File /test_249.bin: deleted:   4088 us, speed:  2446 KB/s
File /test_250.bin: deleted:   4064 us, speed:  2460 KB/s
File /test_251.bin: deleted:   4038 us, speed:  2476 KB/s
File /test_252.bin: deleted:   4069 us, speed:  2457 KB/s
File /test_253.bin: deleted:  11713 us, speed:   853 KB/s
File /test_254.bin: deleted:   4099 us, speed:  2439 KB/s
File /test_255.bin: deleted:   4208 us, speed:  2376 KB/s
File /test_256.bin: deleted:   4128 us, speed:  2422 KB/s
File /test_257.bin: deleted:   4179 us, speed:  2392 KB/s
File /test_258.bin: deleted:   4142 us, speed:  2414 KB/s
File /test_259.bin: deleted:   4146 us, speed:  2411 KB/s
File /test_260.bin: deleted:   4095 us, speed:  2442 KB/s
File /test_261.bin: deleted:   4082 us, speed:  2449 KB/s
File /test_262.bin: deleted:   4114 us, speed:  2430 KB/s
File /test_263.bin: deleted:   4115 us, speed:  2430 KB/s
File /test_264.bin: deleted:   4106 us, speed:  2435 KB/s
File /test_265.bin: deleted:   4130 us, speed:  2421 KB/s
File /test_266.bin: deleted:   4094 us, speed:  2442 KB/s
File /test_267.bin: deleted:   4121 us, speed:  2426 KB/s
File /test_268.bin: deleted:   4128 us, speed:  2422 KB/s
File /test_269.bin: deleted:   4100 us, speed:  2439 KB/s
File /test_270.bin: deleted:   4072 us, speed:  2455 KB/s
File /test_271.bin: deleted:   4097 us, speed:  2440 KB/s
File /test_272.bin: deleted:   4069 us, speed:  2457 KB/s
File /test_273.bin: deleted:   4112 us, speed:  2431 KB/s
File /test_274.bin: deleted:  11679 us, speed:   856 KB/s
File /test_275.bin: deleted:   4096 us, speed:  2441 KB/s
File /test_276.bin: deleted:   4147 us, speed:  2411 KB/s
File /test_277.bin: deleted:   4091 us, speed:  2444 KB/s
File /test_278.bin: deleted:   4047 us, speed:  2470 KB/s
File /test_279.bin: deleted:   4111 us, speed:  2432 KB/s
File /test_280.bin: deleted:   4081 us, speed:  2450 KB/s
File /test_281.bin: deleted:   4083 us, speed:  2449 KB/s
File /test_282.bin: deleted:   4066 us, speed:  2459 KB/s
File /test_283.bin: deleted:   4098 us, speed:  2440 KB/s
File /test_284.bin: deleted:   4105 us, speed:  2436 KB/s
File /test_285.bin: deleted:   4067 us, speed:  2458 KB/s
File /test_286.bin: deleted:   4079 us, speed:  2451 KB/s
File /test_287.bin: deleted:   4085 us, speed:  2447 KB/s
File /test_288.bin: deleted:   4087 us, speed:  2446 KB/s
File /test_289.bin: deleted:   4125 us, speed:  2424 KB/s
File /test_290.bin: deleted:   4062 us, speed:  2461 KB/s
File /test_291.bin: deleted:   4124 us, speed:  2424 KB/s
File /test_292.bin: deleted:   4122 us, speed:  2426 KB/s
File /test_293.bin: deleted:   4043 us, speed:  2473 KB/s
File /test_294.bin: deleted:   4084 us, speed:  2448 KB/s
File /test_295.bin: deleted:   5662 us, speed:  1766 KB/s
File /test_296.bin: deleted:  10076 us, speed:   992 KB/s
File /test_297.bin: deleted:   4022 us, speed:  2486 KB/s
File /test_298.bin: deleted:   4035 us, speed:  2478 KB/s
File /test_299.bin: deleted:   4070 us, speed:  2457 KB/s
File /test_300.bin: deleted:   4038 us, speed:  2476 KB/s
File /test_301.bin: deleted:   4026 us, speed:  2483 KB/s
File /test_302.bin: deleted:   4015 us, speed:  2490 KB/s
File /test_303.bin: deleted:   4007 us, speed:  2495 KB/s
File /test_304.bin: deleted:   4031 us, speed:  2480 KB/s
File /test_305.bin: deleted:   4067 us, speed:  2458 KB/s
File /test_306.bin: deleted:   4037 us, speed:  2477 KB/s
File /test_307.bin: deleted:   4040 us, speed:  2475 KB/s
File /test_308.bin: deleted:   4056 us, speed:  2465 KB/s
File /test_309.bin: deleted:   4095 us, speed:  2442 KB/s
File /test_310.bin: deleted:   4013 us, speed:  2491 KB/s
File /test_311.bin: deleted:   4056 us, speed:  2465 KB/s
File /test_312.bin: deleted:   4028 us, speed:  2482 KB/s
File /test_313.bin: deleted:   4006 us, speed:  2496 KB/s
File /test_314.bin: deleted:   3989 us, speed:  2506 KB/s
File /test_315.bin: deleted:   4032 us, speed:  2480 KB/s
File /test_316.bin: deleted:   5642 us, speed:  1772 KB/s
File /test_317.bin: deleted:  10014 us, speed:   998 KB/s
File /test_318.bin: deleted:   4036 us, speed:  2477 KB/s
File /test_319.bin: deleted:   4038 us, speed:  2476 KB/s
File /test_320.bin: deleted:   4041 us, speed:  2474 KB/s
File /test_321.bin: deleted:   4025 us, speed:  2484 KB/s
File /test_322.bin: deleted:   4013 us, speed:  2491 KB/s
File /test_323.bin: deleted:   3997 us, speed:  2501 KB/s
File /test_324.bin: deleted:   4027 us, speed:  2483 KB/s
File /test_325.bin: deleted:   4038 us, speed:  2476 KB/s
File /test_326.bin: deleted:   4061 us, speed:  2462 KB/s
File /test_327.bin: deleted:   4040 us, speed:  2475 KB/s
File /test_328.bin: deleted:   4037 us, speed:  2477 KB/s
File /test_329.bin: deleted:   4017 us, speed:  2489 KB/s
