
=== FileX Read Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Reading 1000 files of 10240 bytes each...
File test_076.bin: opened:  1116 us, closed:     2 us, I/O:   2042 us, total:   8529 us, speed:  4897 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_077.bin: opened:  1382 us, closed:     2 us, I/O:  11034 us, total:  23728 us, speed:   906 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_078.bin: opened:  1164 us, closed:     2 us, I/O:   2031 us, total:   8559 us, speed:  4923 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_079.bin: opened:  1156 us, closed:     2 us, I/O:   2083 us, total:   8572 us, speed:  4800 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_080.bin: opened:  1170 us, closed:     2 us, I/O:   2038 us, total:   8579 us, speed:  4906 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_081.bin: opened:  1379 us, closed:     2 us, I/O:  11044 us, total:  17767 us, speed:   905 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_082.bin: opened:  1196 us, closed:     2 us, I/O:   2042 us, total:   8589 us, speed:  4897 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_083.bin: opened:  1233 us, closed:     2 us, I/O:   2042 us, total:   8594 us, speed:  4897 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_084.bin: opened:  1224 us, closed:     2 us, I/O:   2032 us, total:   8605 us, speed:  4921 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_085.bin: opened:  1253 us, closed:     2 us, I/O:   2056 us, total:   8671 us, speed:  4863 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_086.bin: opened:  1253 us, closed:     2 us, I/O:   7977 us, total:  14554 us, speed:  1253 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_087.bin: opened:  1270 us, closed:     2 us, I/O:   2046 us, total:   8636 us, speed:  4887 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_088.bin: opened:  1279 us, closed:     2 us, I/O:   2063 us, total:   8673 us, speed:  4847 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_089.bin: opened:  1488 us, closed:     2 us, I/O:  10982 us, total:  17846 us, speed:   910 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_090.bin: opened:  1566 us, closed:     2 us, I/O:  10904 us, total:  17836 us, speed:   917 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_091.bin: opened:  1333 us, closed:     2 us, I/O:   2017 us, total:   8674 us, speed:  4957 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_092.bin: opened:  1328 us, closed:     2 us, I/O:   2091 us, total:   8779 us, speed:  4782 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_093.bin: opened:  1343 us, closed:     2 us, I/O:   2050 us, total:   8723 us, speed:  4878 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_094.bin: opened:  7318 us, closed:     2 us, I/O:   2074 us, total:  14701 us, speed:  4821 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_095.bin: opened:  1391 us, closed:     2 us, I/O:   2055 us, total:   8774 us, speed:  4866 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_096.bin: opened:  1389 us, closed:     2 us, I/O:   2039 us, total:   8762 us, speed:  4904 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_097.bin: opened:  1586 us, closed:     2 us, I/O:  10915 us, total:  17845 us, speed:   916 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_098.bin: opened:  1414 us, closed:     2 us, I/O:   2091 us, total:   8833 us, speed:  4782 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_099.bin: opened:  1449 us, closed:     2 us, I/O:   2017 us, total:   8819 us, speed:  4957 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_100.bin: opened:  1402 us, closed:     2 us, I/O:   2057 us, total:   8804 us, speed:  4861 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_101.bin: opened:  1421 us, closed:     2 us, I/O:   2048 us, total:   8765 us, speed:  4882 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_102.bin: opened:  1447 us, closed:     2 us, I/O:   2083 us, total:  14846 us, speed:  4800 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_103.bin: opened:  1704 us, closed:     2 us, I/O:  10847 us, total:  17855 us, speed:   921 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_104.bin: opened:  1465 us, closed:     2 us, I/O:   2055 us, total:   8859 us, speed:  4866 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_105.bin: opened:  1671 us, closed:     2 us, I/O:  10855 us, total:  17884 us, speed:   921 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_106.bin: opened:  1490 us, closed:     2 us, I/O:   2050 us, total:   8893 us, speed:  4878 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_107.bin: opened:  1522 us, closed:     2 us, I/O:   2026 us, total:   8897 us, speed:  4935 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_108.bin: opened:  1515 us, closed:     2 us, I/O:   2026 us, total:   8890 us, speed:  4935 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_109.bin: opened:  1525 us, closed:     2 us, I/O:   2014 us, total:   8858 us, speed:  4965 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_110.bin: opened:  1541 us, closed:     2 us, I/O:   8009 us, total:  14879 us, speed:  1248 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_111.bin: opened:  1557 us, closed:     2 us, I/O:   2026 us, total:   8944 us, speed:  4935 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_112.bin: opened:  1569 us, closed:     2 us, I/O:   2024 us, total:   8941 us, speed:  4940 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
