
=== FileX Write Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Writing 1000 files of 10240 bytes each...
File test_099.bin: opened:  1348 us, closed:   908 us, I/O:  35527 us, total:  48074 us, speed:   281 KB/s, CRC32: 0xC61C2AA0
File test_100.bin: opened:  1325 us, closed:   907 us, I/O:  30881 us, total:  43352 us, speed:   323 KB/s, CRC32: 0xC61C2AA0
File test_101.bin: opened:  1336 us, closed:   910 us, I/O:  34931 us, total:  47490 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_102.bin: opened:  1354 us, closed:   902 us, I/O:  29211 us, total:  41861 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_103.bin: opened:  1371 us, closed:   907 us, I/O:  38020 us, total:  50661 us, speed:   263 KB/s, CRC32: 0xC61C2AA0
File test_104.bin: opened:  1418 us, closed:   918 us, I/O:  31224 us, total:  43893 us, speed:   320 KB/s, CRC32: 0xC61C2AA0
File test_105.bin: opened:  1395 us, closed:   912 us, I/O:  30003 us, total:  43428 us, speed:   333 KB/s, CRC32: 0xC61C2AA0
File test_106.bin: opened:  1409 us, closed:   909 us, I/O:  29206 us, total:  47942 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_107.bin: opened:  1421 us, closed:   919 us, I/O:  29491 us, total:  42348 us, speed:   339 KB/s, CRC32: 0xC61C2AA0
File test_108.bin: opened:  1436 us, closed:   911 us, I/O:  29574 us, total:  48372 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_109.bin: opened:  1447 us, closed:   907 us, I/O:  28958 us, total:  41961 us, speed:   345 KB/s, CRC32: 0xC61C2AA0
File test_110.bin: opened:  1458 us, closed:   920 us, I/O:  35116 us, total:  48029 us, speed:   284 KB/s, CRC32: 0xC61C2AA0
File test_111.bin: opened:  1471 us, closed:   914 us, I/O:  29361 us, total:  42341 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_112.bin: opened:  1486 us, closed:   909 us, I/O:  35444 us, total:  48421 us, speed:   282 KB/s, CRC32: 0xC61C2AA0
File test_113.bin: opened:  1502 us, closed:   915 us, I/O:  32058 us, total:  45764 us, speed:   311 KB/s, CRC32: 0xC61C2AA0
File test_114.bin: opened:  1512 us, closed:   920 us, I/O:  34963 us, total:  47997 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_115.bin: opened:  1529 us, closed:   916 us, I/O:  29287 us, total:  42411 us, speed:   341 KB/s, CRC32: 0xC61C2AA0
File test_116.bin: opened:  1544 us, closed:   904 us, I/O:  38120 us, total:  51366 us, speed:   262 KB/s, CRC32: 0xC61C2AA0
File test_117.bin: opened:  1579 us, closed:   904 us, I/O:  31292 us, total:  44459 us, speed:   319 KB/s, CRC32: 0xC61C2AA0
File test_118.bin: opened:  1621 us, closed:   902 us, I/O:  28983 us, total:  42217 us, speed:   345 KB/s, CRC32: 0xC61C2AA0
File test_119.bin: opened:  1582 us, closed:   921 us, I/O:  29175 us, total:  48389 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_120.bin: opened:  1596 us, closed:   906 us, I/O:  29379 us, total:  42698 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_121.bin: opened:  1610 us, closed:   906 us, I/O:  30655 us, total:  50627 us, speed:   326 KB/s, CRC32: 0xC61C2AA0
File test_122.bin: opened:  1657 us, closed:   903 us, I/O:  28938 us, total:  42445 us, speed:   345 KB/s, CRC32: 0xC61C2AA0
File test_123.bin: opened:  1649 us, closed:   922 us, I/O:  35102 us, total:  48494 us, speed:   284 KB/s, CRC32: 0xC61C2AA0
File test_124.bin: opened:  1649 us, closed:   903 us, I/O:  29329 us, total:  42736 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_125.bin: opened:  1661 us, closed:   923 us, I/O:  35384 us, total:  48822 us, speed:   282 KB/s, CRC32: 0xC61C2AA0
File test_126.bin: opened:  1676 us, closed:   906 us, I/O:  31155 us, total:  44640 us, speed:   320 KB/s, CRC32: 0xC61C2AA0
File test_127.bin: opened:  1690 us, closed:   907 us, I/O:  34991 us, total:  48575 us, speed:   285 KB/s, CRC32: 0xC61C2AA0
File test_128.bin: opened:  1705 us, closed:   898 us, I/O:  32034 us, total:  45579 us, speed:   312 KB/s, CRC32: 0xC61C2AA0
File test_129.bin: opened:  1718 us, closed:   904 us, I/O:  36686 us, total:  51030 us, speed:   272 KB/s, CRC32: 0xC61C2AA0
File test_130.bin: opened:  1747 us, closed:   907 us, I/O:  31516 us, total:  45188 us, speed:   317 KB/s, CRC32: 0xC61C2AA0
File test_131.bin: opened:  1743 us, closed:   910 us, I/O:  34958 us, total:  48611 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_132.bin: opened:  1756 us, closed:   903 us, I/O:  29164 us, total:  42892 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_133.bin: opened:  1765 us, closed:   904 us, I/O:  35358 us, total:  49117 us, speed:   282 KB/s, CRC32: 0xC61C2AA0
File test_134.bin: opened:  1786 us, closed:   902 us, I/O:  29617 us, total:  43416 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_135.bin: opened:  1797 us, closed:   897 us, I/O:  28901 us, total:  42910 us, speed:   346 KB/s, CRC32: 0xC61C2AA0
File test_136.bin: opened:  1818 us, closed:   900 us, I/O:  29135 us, total:  48944 us, speed:   343 KB/s, CRC32: 0xC61C2AA0
File test_137.bin: opened:  1843 us, closed:   902 us, I/O:  30573 us, total:  45179 us, speed:   327 KB/s, CRC32: 0xC61C2AA0
File test_138.bin: opened:  1864 us, closed:   910 us, I/O:  29541 us, total:  49508 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_139.bin: opened:  1856 us, closed:   903 us, I/O:  31286 us, total:  45282 us, speed:   319 KB/s, CRC32: 0xC61C2AA0
File test_140.bin: opened:  1880 us, closed:   919 us, I/O:  34995 us, total:  49057 us, speed:   285 KB/s, CRC32: 0xC61C2AA0
File test_141.bin: opened:  1880 us, closed:   928 us, I/O:  32152 us, total:  46240 us, speed:   311 KB/s, CRC32: 0xC61C2AA0
File test_142.bin: opened:  1892 us, closed:   907 us, I/O:  35442 us, total:  49578 us, speed:   282 KB/s, CRC32: 0xC61C2AA0
File test_143.bin: opened:  1927 us, closed:   899 us, I/O:  31578 us, total:  45723 us, speed:   316 KB/s, CRC32: 0xC61C2AA0
File test_144.bin: opened:  1918 us, closed:   931 us, I/O:  34941 us, total:  49100 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_145.bin: opened:  1952 us, closed:   909 us, I/O:  30563 us, total:  45509 us, speed:   327 KB/s, CRC32: 0xC61C2AA0
File test_146.bin: opened:  1985 us, closed:   908 us, I/O:  35416 us, total:  49709 us, speed:   282 KB/s, CRC32: 0xC61C2AA0
File test_147.bin: opened:  1960 us, closed:   905 us, I/O:  29650 us, total:  43998 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_148.bin: opened:  1975 us, closed:   904 us, I/O:  34815 us, total:  49373 us, speed:   287 KB/s, CRC32: 0xC61C2AA0
File test_149.bin: opened:  2007 us, closed:   924 us, I/O:  29142 us, total:  43594 us, speed:   343 KB/s, CRC32: 0xC61C2AA0
